GAME_ID,home_team_id,home_team_name,away_team_id,away_team_name,pts_diff,ast_diff,blk_diff,fg_pct_diff,plus_minus_diff,reb_diff,stl_diff,tov_diff,home_win
0022200001,1610612738,Boston Celtics,1610612755,Philadelphia 76ers,9,8,0,0.061000000000000054,18,5,0,-3,1
0022200002,1610612744,Golden State Warriors,1610612747,Los Angeles Lakers,14,8,0,0.029000000000000026,28,0,-1,-4,1
0022200003,1610612765,Detroit Pistons,1610612753,Orlando Magic,4,10,-1,-0.062,8,-7,6,-5,1
0022200004,1610612754,Indiana Pacers,1610612764,Washington Wizards,-7,0,-5,-0.05499999999999999,-14,-11,2,-2,0
0022200005,1610612737,Atlanta Hawks,1610612745,Houston Rockets,10,5,2,0.07100000000000001,20,-16,8,-7,1
0022200006,1610612751,Brooklyn Nets,1610612740,New Orleans Pelicans,-22,-9,6,-0.04099999999999998,-44,-22,1,3,0
0022200007,1610612748,Miami Heat,1610612741,Chicago Bulls,-8,-2,-4,0.02200000000000002,-16,0,-6,4,0
0022200008,1610612761,Toronto Raptors,1610612739,Cleveland Cavaliers,3,-6,-1,-0.07500000000000001,6,3,10,-4,1
0022200009,1610612763,Memphis Grizzlies,1610612752,New York Knicks,3,-1,2,-0.015000000000000013,6,10,-1,2,1
0022200010,1610612750,Minnesota Timberwolves,1610612760,Oklahoma City Thunder,7,3,-1,0.030999999999999972,14,-2,0,0,1
0022200011,1610612759,San Antonio Spurs,1610612766,Charlotte Hornets,-27,-4,-2,-0.10699999999999998,-54,-7,1,0,0
0022200012,1610612762,Utah Jazz,1610612743,Denver Nuggets,21,6,-2,0.02400000000000002,42,8,0,-1,1
0022200013,1610612756,Phoenix Suns,1610612742,Dallas Mavericks,2,8,1,0.003999999999999948,4,0,-2,0,1
0022200014,1610612758,Sacramento Kings,1610612757,Portland Trail Blazers,-7,7,3,0.016000000000000014,-14,-3,-3,5,0
0022200015,1610612755,Philadelphia 76ers,1610612749,Milwaukee Bucks,-2,-7,-1,0.02899999999999997,-4,-4,2,-4,0
0022200016,1610612747,Los Angeles Lakers,1610612746,LA Clippers,-6,5,-2,-0.11200000000000004,-12,-20,6,-13,0
0022200017,1610612766,Charlotte Hornets,1610612740,New Orleans Pelicans,-12,7,-3,-0.01799999999999996,-24,-16,0,-2,0
0022200018,1610612754,Indiana Pacers,1610612759,San Antonio Spurs,-3,-2,2,-0.05300000000000005,-6,5,-1,-1,0
0022200019,1610612764,Washington Wizards,1610612741,Chicago Bulls,2,7,5,0.09500000000000003,4,1,0,4,1
0022200020,1610612737,Atlanta Hawks,1610612753,Orlando Magic,10,10,-5,0.03600000000000003,20,2,1,-2,1
0022200021,1610612751,Brooklyn Nets,1610612761,Toronto Raptors,4,1,9,-0.013000000000000012,8,3,-6,-2,1
0022200022,1610612748,Miami Heat,1610612738,Boston Celtics,-7,6,-8,-0.062,-14,-7,4,-10,0
0022200023,1610612752,New York Knicks,1610612765,Detroit Pistons,24,3,4,0.09300000000000003,48,1,-2,-3,1
0022200024,1610612745,Houston Rockets,1610612763,Memphis Grizzlies,-7,-8,-4,0.013999999999999957,-14,-5,-4,2,0
0022200025,1610612750,Minnesota Timberwolves,1610612762,Utah Jazz,-6,-19,-1,0.017000000000000015,-12,6,-6,7,0
0022200026,1610612744,Golden State Warriors,1610612743,Denver Nuggets,-5,4,1,-0.05800000000000005,-10,-6,0,-1,0
0022200027,1610612757,Portland Trail Blazers,1610612756,Phoenix Suns,2,-17,4,-0.018000000000000016,4,7,-6,4,1
0022200028,1610612755,Philadelphia 76ers,1610612759,San Antonio Spurs,-9,-1,-2,-0.04299999999999998,-18,-3,1,-2,0
0022200029,1610612754,Indiana Pacers,1610612765,Detroit Pistons,9,2,12,0.04799999999999999,18,6,2,-3,1
0022200030,1610612753,Orlando Magic,1610612738,Boston Celtics,-6,-3,1,-0.009000000000000008,-12,11,0,1,0
0022200031,1610612748,Miami Heat,1610612761,Toronto Raptors,3,4,-3,0.07500000000000001,6,7,-7,10,1
0022200032,1610612741,Chicago Bulls,1610612739,Cleveland Cavaliers,-32,-13,2,-0.15999999999999992,-64,-13,8,-8,0
0022200033,1610612749,Milwaukee Bucks,1610612745,Houston Rockets,20,9,4,0.17799999999999994,40,0,-3,2,1
0022200034,1610612742,Dallas Mavericks,1610612763,Memphis Grizzlies,41,3,-1,0.07,82,23,3,-3,1
0022200035,1610612743,Denver Nuggets,1610612760,Oklahoma City Thunder,5,4,1,0.046999999999999986,10,-1,-5,5,1
0022200036,1610612758,Sacramento Kings,1610612746,LA Clippers,-2,0,2,-0.03500000000000003,-4,-1,-3,-1,0
0022200037,1610612747,Los Angeles Lakers,1610612757,Portland Trail Blazers,-2,7,4,0.006000000000000005,-4,-12,3,-6,0
